train_loss,train_acc,train_cls_loss,train_exp_loss,val_loss,val_acc,val_cls_loss,val_exp_loss
0.8525928854942322,0.7761731147766113,0.463773250579834,0.7776394486427307,0.6886184811592102,0.7961164712905884,0.35107454657554626,0.6750878691673279
0.6363639235496521,0.8722743988037109,0.29639673233032227,0.679934561252594,0.6880388855934143,0.8106796145439148,0.3870297074317932,0.6020182371139526
0.6373634338378906,0.8850758075714111,0.3025212585926056,0.6696839928627014,0.647921085357666,0.8155339956283569,0.35906705260276794,0.5777081847190857
0.7538923025131226,0.8473122715950012,0.3526899814605713,0.8024044036865234,0.667593777179718,0.8592233061790466,0.28428760170936584,0.7666125297546387
0.7198196649551392,0.8686131238937378,0.32229775190353394,0.7950441837310791,0.8509594798088074,0.7961164712905884,0.44614487886428833,0.8096292018890381
0.6766053438186646,0.8662020564079285,0.31404992938041687,0.7251113057136536,0.6864446997642517,0.8398058414459229,0.38128194212913513,0.6103255748748779
0.9398009777069092,0.7588207721710205,0.5458956360816956,0.7878108620643616,0.6446481347084045,0.8786407709121704,0.29945921897888184,0.6903780102729797
0.8027971982955933,0.7985201478004456,0.4366450011730194,0.7323043942451477,1.0187742710113525,0.6650485396385193,0.6116436719894409,0.8142610788345337
0.8674347400665283,0.7695536613464355,0.48641878366470337,0.7620322704315186,0.8045962452888489,0.8203883171081543,0.39113113284111023,0.8269302845001221
0.8077027797698975,0.8112776279449463,0.4259384274482727,0.76352858543396,0.8172274231910706,0.8203883171081543,0.4176090955734253,0.799236536026001
0.715234637260437,0.8424574136734009,0.3688400387763977,0.6927894353866577,0.6219911575317383,0.8883495330810547,0.31505924463272095,0.6138638854026794
0.6724805235862732,0.8576642274856567,0.35190892219543457,0.6411424875259399,0.6354401111602783,0.8640776872634888,0.3174830377101898,0.6359143257141113
0.6807824969291687,0.8417763710021973,0.362953245639801,0.6356583833694458,0.8399564027786255,0.7184466123580933,0.5213358402252197,0.6372411847114563
0.6935386657714844,0.8303841948509216,0.38330888748168945,0.6204602718353271,0.6368402242660522,0.8689320087432861,0.32873275876045227,0.6162148714065552
0.6293402314186096,0.8624585866928101,0.34572628140449524,0.5672277808189392,0.5656957030296326,0.893203854560852,0.2809962034225464,0.5693989992141724
0.5519742965698242,0.8977445363998413,0.27490440011024475,0.5541394948959351,0.5612291693687439,0.893203854560852,0.2719276249408722,0.5786029696464539
0.5426015853881836,0.9099041223526001,0.2361445128917694,0.6129140853881836,0.7529000043869019,0.7864077091217041,0.41267454624176025,0.6804508566856384
0.5766259431838989,0.8942255973815918,0.27605918049812317,0.6011338233947754,0.5899380445480347,0.8737863898277283,0.312428742647171,0.5550186634063721
0.5869382619857788,0.885644793510437,0.2919033169746399,0.5900701284408569,0.5735135674476624,0.8883495330810547,0.2687959671020508,0.6094352006912231
0.5393151640892029,0.893552303314209,0.2486926019191742,0.5812448859214783,0.6724072098731995,0.8446601629257202,0.33616364002227783,0.672487199306488
0.5179020762443542,0.9130102396011353,0.23916278779506683,0.5574787855148315,0.5603528618812561,0.8640776872634888,0.27350857853889465,0.5736885666847229
0.5135316252708435,0.9111058712005615,0.2392997145652771,0.548463761806488,0.6443352103233337,0.8592233061790466,0.33547040820121765,0.6177295446395874
0.5330097675323486,0.905603289604187,0.25523385405540466,0.5555517673492432,0.5754363536834717,0.8689320087432861,0.26618626713752747,0.618500292301178
0.4739850163459778,0.9184466004371643,0.19916276633739471,0.5496447682380676,0.5755085945129395,0.8689320087432861,0.30113646388053894,0.5487441420555115
0.5897191166877747,0.87642502784729,0.310218870639801,0.5590001940727234,0.625076174736023,0.8398058414459229,0.32986313104629517,0.5904260873794556
0.592660665512085,0.8614424467086792,0.3122362792491913,0.5608490109443665,0.5784685611724854,0.8689320087432861,0.29847481846809387,0.559987485408783
0.5085130333900452,0.9049786925315857,0.24166738986968994,0.5336913466453552,0.5384572744369507,0.8834951519966125,0.26936572790145874,0.5381830930709839
0.4981386363506317,0.9117625951766968,0.2385677844285965,0.5191415548324585,0.6017519235610962,0.8446601629257202,0.297809362411499,0.6078851819038391
0.46985578536987305,0.934249997138977,0.20326849818229675,0.5331746339797974,0.5327640175819397,0.9077669978141785,0.2566829323768616,0.552162230014801
0.42347684502601624,0.9506560564041138,0.16073864698410034,0.5254762172698975,0.5362090468406677,0.8883495330810547,0.25195541977882385,0.5685073733329773
0.45744386315345764,0.9274880886077881,0.17969708144664764,0.5554935932159424,0.562195360660553,0.8883495330810547,0.273871511220932,0.5766478776931763
0.41815119981765747,0.9506956338882446,0.1591128408908844,0.518076479434967,0.514099657535553,0.893203854560852,0.23324090242385864,0.5617175698280334
0.40883997082710266,0.9592316150665283,0.14139340817928314,0.5348930358886719,0.5243184566497803,0.893203854560852,0.25382936000823975,0.5409778952598572
0.38233625888824463,0.9659233689308167,0.1177922934293747,0.5290875434875488,0.518602728843689,0.8883495330810547,0.24423788487911224,0.5487297773361206
0.3961714506149292,0.9647067785263062,0.12675537168979645,0.5388323068618774,0.5587177276611328,0.8834950923919678,0.2811918556690216,0.5550516843795776
0.39242660999298096,0.959854006767273,0.1263725459575653,0.5321078896522522,0.5137245655059814,0.9126213788986206,0.2386910766363144,0.5500670075416565
0.5307762622833252,0.8886861205101013,0.24285888671875,0.5758347511291504,0.6312506198883057,0.8543689250946045,0.34046587347984314,0.581569492816925
0.48254647850990295,0.9098867177963257,0.20535603165626526,0.5543807744979858,0.7286522388458252,0.7864077687263489,0.4447915256023407,0.5677211880683899
0.4913651943206787,0.9116149544715881,0.2113550901412964,0.5600200295448303,0.5559466481208801,0.8689320087432861,0.27891531586647034,0.5540629029273987
0.4458325207233429,0.9348621964454651,0.1743851602077484,0.5428944826126099,0.5375327467918396,0.8737863898277283,0.25801733136177063,0.5590306520462036
0.3992373049259186,0.9537088871002197,0.14381498098373413,0.5108447074890137,0.5344898104667664,0.8834951519966125,0.25922301411628723,0.5505337119102478
0.40363460779190063,0.9537712335586548,0.14304432272911072,0.5211801528930664,0.5301108360290527,0.8834951519966125,0.2568501830101013,0.5465211868286133
0.37901365756988525,0.9641119241714478,0.12285073101520538,0.5123257637023926,0.5345059633255005,0.9029126167297363,0.252492219209671,0.5640275478363037
0.38105395436286926,0.968302845954895,0.1183641329407692,0.5253795385360718,0.5584415793418884,0.8737863898277283,0.2795405387878418,0.5578020811080933
0.3783218264579773,0.9664782285690308,0.1234084814786911,0.5098267197608948,0.5508477687835693,0.8786407709121704,0.2704007923603058,0.5608938932418823
